                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.7583,                 1.4809,                 1.0239,                0.62325,                0.44847,                0.48524,                0.31922,                 1.7077,                  1.402,                 1.0141,             0.00055074,             0.00055074,             0.00055074
                     35,                 1.7289,                 1.4518,                 1.0135,                0.61377,                0.47918,                0.50557,                0.33904,                 1.7129,                 1.3672,                 1.0113,             0.00054958,             0.00054958,             0.00054958
                     36,                  1.763,                 1.4652,                 1.0178,                0.61575,                0.48475,                0.50772,                0.33721,                 1.6852,                 1.3488,                 1.0111,             0.00054842,             0.00054842,             0.00054842
                     37,                 1.7062,                 1.4132,                 1.0113,                0.60094,                0.48917,                0.52329,                0.35153,                 1.7211,                 1.3406,                 1.0159,             0.00054725,             0.00054725,             0.00054725
                     38,                 1.7221,                 1.4259,                 1.0105,                0.64407,                0.47902,                  0.524,                0.34587,                 1.7037,                 1.3249,                 1.0171,             0.00054609,             0.00054609,             0.00054609
                     39,                 1.7137,                 1.3997,                 1.0078,                0.55322,                 0.5159,                0.52368,                 0.3565,                 1.6545,                 1.3197,                 1.0039,             0.00054492,             0.00054492,             0.00054492
                     40,                 1.7152,                 1.3855,                 1.0129,                0.62839,                0.48078,                0.53096,                0.35927,                 1.6627,                 1.3437,                 1.0039,             0.00054376,             0.00054376,             0.00054376
                     41,                 1.6955,                 1.3859,                 1.0046,                0.51908,                0.52988,                0.52299,                0.34869,                 1.6716,                 1.3308,                 1.0079,             0.00054259,             0.00054259,             0.00054259
                     42,                 1.6992,                 1.3756,                 1.0099,                0.58372,                0.48067,                0.52947,                0.35502,                 1.6658,                 1.3134,                 1.0076,             0.00054143,             0.00054143,             0.00054143
                     43,                 1.7438,                 1.3962,                  1.012,                0.62131,                0.50115,                0.54196,                0.36163,                 1.6872,                 1.3145,                 1.0076,             0.00054027,             0.00054027,             0.00054027
                     44,                 1.7002,                 1.3619,                0.99918,                0.58501,                0.56085,                0.56082,                0.37796,                 1.6786,                 1.3018,                 1.0058,              0.0005391,              0.0005391,              0.0005391
                     45,                 1.6766,                 1.3345,                 1.0013,                0.63812,                0.52793,                0.57323,                0.38792,                 1.6731,                 1.2809,                 1.0007,             0.00053794,             0.00053794,             0.00053794
                     46,                  1.699,                   1.35,                0.99707,                0.60351,                0.55035,                0.58202,                 0.3872,                 1.6589,                 1.2703,                 1.0038,             0.00053677,             0.00053677,             0.00053677
                     47,                 1.6787,                 1.3158,                0.99335,                0.60948,                0.53681,                0.56603,                 0.3878,                 1.6407,                 1.2661,                0.99645,             0.00053561,             0.00053561,             0.00053561
                     48,                 1.6886,                 1.3223,                0.99869,                0.70132,                 0.4864,                0.57276,                0.38157,                 1.6848,                 1.2859,                  1.009,             0.00053444,             0.00053444,             0.00053444
                     49,                 1.6716,                 1.3005,                 0.9902,                0.61784,                0.56018,                0.57582,                0.38701,                 1.6658,                 1.2451,                 0.9991,             0.00053328,             0.00053328,             0.00053328
                     50,                 1.6698,                 1.3159,                0.99234,                0.61868,                0.57552,                0.58079,                0.39566,                 1.6476,                 1.2717,                 1.0041,             0.00053212,             0.00053212,             0.00053212
                     51,                 1.6577,                 1.2955,                0.99588,                0.67876,                0.55048,                0.58772,                0.40232,                 1.6351,                 1.2371,                0.99815,             0.00053095,             0.00053095,             0.00053095
                     52,                 1.7106,                 1.3183,                  1.001,                0.65056,                0.54983,                0.58603,                0.39264,                 1.6772,                 1.2684,                 1.0037,             0.00052979,             0.00052979,             0.00052979
                     53,                 1.6738,                 1.2903,                0.99056,                0.63046,                0.54907,                0.58886,                0.39634,                 1.6322,                 1.2259,                0.99624,             0.00052862,             0.00052862,             0.00052862
                     54,                 1.6604,                 1.2718,                0.99146,                0.66248,                0.52981,                0.58648,                 0.4033,                 1.6269,                 1.2345,                0.99536,             0.00052746,             0.00052746,             0.00052746
                     55,                 1.6678,                 1.2715,                0.99402,                0.69752,                0.56301,                0.61023,                0.41715,                 1.6279,                 1.2125,                0.98923,              0.0005263,              0.0005263,              0.0005263
                     56,                 1.6741,                 1.2767,                0.98553,                0.63781,                 0.5935,                0.61358,                0.42739,                 1.6225,                 1.2055,                0.99442,             0.00052513,             0.00052513,             0.00052513
                     57,                 1.6697,                 1.2622,                0.99315,                0.67715,                0.56531,                0.60343,                0.42242,                 1.6148,                 1.2282,                0.99222,             0.00052397,             0.00052397,             0.00052397
                     58,                 1.6671,                 1.2687,                0.98697,                0.63387,                0.56301,                0.58637,                0.40195,                 1.6229,                 1.2247,                0.98675,              0.0005228,              0.0005228,              0.0005228
                     59,                 1.6727,                 1.2586,                0.98814,                0.67211,                0.59206,                0.61454,                 0.4226,                 1.6058,                  1.211,                0.98671,             0.00052164,             0.00052164,             0.00052164
                     60,                 1.6524,                 1.2327,                0.98642,                0.71002,                0.56646,                 0.6105,                0.42492,                 1.6125,                 1.2084,                0.99025,             0.00052047,             0.00052047,             0.00052047
